language,ordered_letters
english,etaoinsrhldcumfpgwybvkxjqz
spanish,eaosrnidlctumpbgyívqóhfzjéáñxúüwk
german,enisratdhulcgmobwfkzvüpäßjöyqx
french,esaitnrulodcmpévqfbghjàxèyêzçôùâûî
italian,eaionlrtscdupmvghfbqzòàùì
dutch,enatirodslghvkmubpwjczfxy
turkish,aeinrlıdkmuytsboüşzgçhğvcöpfjwxq
polish,iaeoznscrwyłdkmtpujlgębąhżśóćńfźvqx
esperanto,aieonlsrtkjudmpvgfbcĝĉŭzŝhĵĥwyxq
swedish,eantrslidomgkvähfupåöbcjyxwzéq
danish,enadtrslgiohmkvufbpøaejycéxqwèzüàóêçaaëä
portuguese,aeosrinmdutlcphvqgfbãzçjáéxóõêôàyíèú
norwegian,erntsilakodgmvfupbhøjyaaæcwzx
icelandic,anriestudhlgmkfhvoáthídjóbyæúöpéýcxwzq
hungarian,eatlnskomzrigáéydbvhjo:fupöócu:íúüxw
slovak,aoesnitrvlkdmcupzyhjgfb
finnish,enatrsildokgmvfaauphäcböjyxzw
czech,oeantivlsrdkupímcházyjbřêéĉžýŝũgfúňwďóxť
hawaiian,aiko’enuhlmâpôwêûî
maori,aiketonuhrmwgp
latin,eituasrnomcpldqbgvfhxyk
irish,aihnretscoldgumbáfíéúópvjwykqz
welsh,ayndreiloghwtfuscmbpâôy^w^jïêáqvî
gaelic,aihndercsgloutmbàfpo`ùéi`èó
japanese,日一十二人大年会国三本長中五出事社市者月
chinese,的一是不了在人有我他这中大来上国个到说们